Datetime,DailyMinimumDryBulbTemperature
2011-09-10,43.0
2011-09-11,45.0
2011-09-12,43.0
2011-09-13,38.0
2011-09-14,42.0
2011-09-15,45.0
2011-09-16,34.0
2011-09-17,31.0
2011-09-18,32.0
2011-09-19,35.0
2011-09-20,35.0
2011-09-21,34.0
2011-09-22,35.0
2011-09-23,35.0
2011-09-24,38.0
2011-09-25,36.0
2011-09-26,31.0
2011-09-27,37.0
2011-09-28,35.0
2011-09-29,38.0
2011-09-30,40.0
2011-10-01,37.0
2011-10-02,31.0
2011-10-03,29.0
2011-10-04,42.0
2011-10-05,35.0
2011-10-06,35.0
2011-10-07,36.0
2011-10-08,28.0
2011-10-09,23.0
2011-10-10,42.0
2011-10-11,33.0
2011-10-12,26.0
2011-10-13,28.0
2011-10-14,34.0
2011-10-15,37.0
2011-10-16,38.0
2011-10-17,28.0
2011-10-18,28.0
2011-10-19,31.0
2011-10-20,30.0
2011-10-21,29.0
2011-10-22,26.0
2011-10-23,25.0
2011-10-24,29.0
2011-10-25,20.0
2011-10-26,13.0
2011-10-27,19.0
2011-10-28,17.0
2011-10-29,23.0
2011-10-30,25.0
2011-10-31,33.0
2011-11-01,22.0
2011-11-02,10.0
2011-11-03,30.0
2011-11-04,23.0
2011-11-05,12.0
2011-11-06,29.0
2011-11-07,21.0
2011-11-08,17.0
2011-11-09,21.0
2011-11-10,17.0
2011-11-11,17.0
2011-11-12,33.0
2011-11-13,29.0
2011-11-14,19.0
2011-11-15,33.0
2011-11-16,22.0
2011-11-17,39.0
2011-11-18,14.0
2011-11-19,0.0
2011-11-20,23.0
2011-11-21,23.0
2011-11-22,35.0
2011-11-23,27.0
2011-11-24,30.0
2011-11-25,21.0
2011-11-26,17.0
2011-11-27,28.0
2011-11-28,23.0
2011-11-29,17.0
2011-11-30,21.0
2011-12-01,24.0
2011-12-02,12.0
2011-12-03,13.0
2011-12-04,7.0
2011-12-05,9.0
2011-12-06,9.0
2011-12-07,12.0
2011-12-08,9.0
2011-12-09,7.0
2011-12-10,8.0
2011-12-11,7.0
2011-12-12,11.0
2011-12-13,3.0
2011-12-14,4.0
2011-12-15,25.0
2011-12-16,10.0
2011-12-17,10.0
2011-12-18,8.0
2011-12-19,13.0
2011-12-20,6.0
2011-12-21,1.0
2011-12-22,-6.0
2011-12-23,1.0
2011-12-24,2.0
2011-12-25,11.0
2011-12-26,8.0
2011-12-27,19.0
2011-12-28,36.0
2011-12-29,32.0
2011-12-30,20.0
2011-12-31,20.5
2012-01-01,21.0
2012-01-02,26.0
2012-01-03,16.0
2012-01-04,18.0
2012-01-05,21.0
2012-01-06,14.0
2012-01-07,8.0
2012-01-08,11.0
2012-01-09,7.0
2012-01-10,15.0
2012-01-11,5.0
2012-01-12,2.0
2012-01-13,7.0
2012-01-14,8.0
2012-01-15,12.0
2012-01-16,1.0
2012-01-17,-6.0
2012-01-18,27.0
2012-01-19,31.0
2012-01-20,31.0
2012-01-21,23.0
2012-01-22,22.0
2012-01-23,23.0
2012-01-24,23.0
2012-01-25,34.0
2012-01-26,24.0
2012-01-27,15.0
2012-01-28,12.0
2012-01-29,22.0
2012-01-30,22.0
2012-01-31,14.0
2012-02-01,21.0
2012-02-02,14.0
2012-02-03,11.0
2012-02-04,11.0
2012-02-05,11.0
2012-02-06,11.0
2012-02-07,19.0
2012-02-08,28.0
2012-02-09,25.0
2012-02-10,22.0
2012-02-11,29.0
2012-02-12,20.0
2012-02-13,29.0
2012-02-14,25.0
2012-02-15,20.0
2012-02-16,14.0
2012-02-17,22.0
2012-02-18,20.0
2012-02-19,10.0
2012-02-20,27.0
2012-02-21,31.0
2012-02-22,26.0
2012-02-23,20.0
2012-02-24,16.0
2012-02-25,18.0
2012-02-26,10.0
2012-02-27,14.0
2012-02-28,17.0
2012-02-29,20.0
2012-03-01,9.0
2012-03-02,-1.0
2012-03-03,11.0
2012-03-04,17.0
2012-03-05,21.0
2012-03-06,19.0
2012-03-07,14.0
2012-03-08,15.0
2012-03-09,19.0
2012-03-10,30.0
2012-03-11,31.0
2012-03-12,26.0
2012-03-13,38.0
2012-03-14,36.0
2012-03-15,42.0
2012-03-16,32.0
2012-03-17,24.0
2012-03-18,21.0
2012-03-19,12.0
2012-03-20,28.0
2012-03-21,36.0
2012-03-22,36.0
2012-03-23,26.0
2012-03-24,26.0
2012-03-25,28.0
2012-03-26,28.0
2012-03-27,32.0
2012-03-28,32.0
2012-03-29,35.0
2012-03-30,42.0
2012-03-31,32.0
2012-04-01,24.0
2012-04-02,19.0
2012-04-03,31.0
2012-04-04,23.0
2012-04-05,23.0
2012-04-06,19.0
2012-04-07,24.0
2012-04-08,22.0
2012-04-09,26.0
2012-04-10,38.0
2012-04-11,32.0
2012-04-12,31.0
2012-04-13,33.0
2012-04-14,34.0
2012-04-15,22.0
2012-04-16,42.0
2012-04-17,30.0
2012-04-18,40.0
2012-04-19,43.0
2012-04-20,32.0
2012-04-21,34.0
2012-04-22,36.0
2012-04-23,34.0
2012-04-24,37.0
2012-04-25,43.0
2012-04-26,34.0
2012-04-27,26.0
2012-04-28,28.0
2012-04-29,32.0
2012-04-30,40.0
2012-05-01,27.0
2012-05-02,24.0
2012-05-03,39.0
2012-05-04,32.0
2012-05-05,26.0
2012-05-06,32.0
2012-05-07,29.0
2012-05-08,29.0
2012-05-09,37.0
2012-05-10,35.0
2012-05-11,28.0
2012-05-12,29.0
2012-05-13,33.0
2012-05-14,38.0
2012-05-15,45.0
2012-05-16,42.0
2012-05-17,39.0
2012-05-18,28.0
2012-05-19,29.0
2012-05-20,37.0
2012-05-21,48.0
2012-05-22,37.0
2012-05-23,33.0
2012-05-24,30.0
2012-05-25,36.0
2012-05-26,36.0
2012-05-27,33.0
2012-05-28,31.0
2012-05-29,32.0
2012-05-30,35.0
2012-05-31,40.0
2012-06-01,45.0
2012-06-02,47.0
2012-06-03,44.0
2012-06-04,35.0
2012-06-05,34.0
2012-06-06,26.0
2012-06-07,31.0
2012-06-08,33.0
2012-06-09,31.0
2012-06-10,28.0
2012-06-11,33.0
2012-06-12,42.0
2012-06-13,42.0
2012-06-14,44.0
2012-06-15,48.0
2012-06-16,44.0
2012-06-17,46.0
2012-06-18,41.0
2012-06-19,31.0
