Datetime,DailyMaximumDryBulbTemperature
2011-09-10,89.0
2011-09-11,85.0
2011-09-12,85.0
2011-09-13,86.0
2011-09-14,84.0
2011-09-15,80.0
2011-09-16,73.0
2011-09-17,74.0
2011-09-18,82.0
2011-09-19,84.0
2011-09-20,85.0
2011-09-21,88.0
2011-09-22,90.0
2011-09-23,92.0
2011-09-24,86.0
2011-09-25,67.0
2011-09-26,77.0
2011-09-27,83.0
2011-09-28,86.0
2011-09-29,89.0
2011-09-30,88.0
2011-10-01,74.0
2011-10-02,72.0
2011-10-03,67.0
2011-10-04,55.0
2011-10-05,45.0
2011-10-06,49.0
2011-10-07,58.0
2011-10-08,67.0
2011-10-09,68.0
2011-10-10,57.0
2011-10-11,62.0
2011-10-12,71.0
2011-10-13,74.0
2011-10-14,79.0
2011-10-15,72.0
2011-10-16,67.0
2011-10-17,71.0
2011-10-18,77.0
2011-10-19,70.0
2011-10-20,72.0
2011-10-21,69.0
2011-10-22,72.0
2011-10-23,72.0
2011-10-24,61.0
2011-10-25,54.0
2011-10-26,55.0
2011-10-27,62.0
2011-10-28,66.0
2011-10-29,66.0
2011-10-30,70.0
2011-10-31,61.0
2011-11-01,50.0
2011-11-02,58.0
2011-11-03,49.0
2011-11-04,39.0
2011-11-05,35.0
2011-11-06,35.0
2011-11-07,36.0
2011-11-08,45.0
2011-11-09,51.0
2011-11-10,58.0
2011-11-11,58.0
2011-11-12,47.0
2011-11-13,49.0
2011-11-14,51.0
2011-11-15,47.0
2011-11-16,56.0
2011-11-17,53.0
2011-11-18,42.0
2011-11-19,36.0
2011-11-20,38.0
2011-11-21,40.0
2011-11-22,48.0
2011-11-23,55.0
2011-11-24,47.0
2011-11-25,47.0
2011-11-26,58.0
2011-11-27,62.0
2011-11-28,56.0
2011-11-29,56.0
2011-11-30,44.0
2011-12-01,45.0
2011-12-02,47.0
2011-12-03,41.0
2011-12-04,45.0
2011-12-05,41.0
2011-12-06,48.0
2011-12-07,49.0
2011-12-08,48.0
2011-12-09,53.0
2011-12-10,51.0
2011-12-11,47.0
2011-12-12,37.0
2011-12-13,41.0
2011-12-14,44.0
2011-12-15,41.0
2011-12-16,47.0
2011-12-17,54.0
2011-12-18,45.0
2011-12-19,45.0
2011-12-20,46.0
2011-12-21,39.0
2011-12-22,39.0
2011-12-23,44.0
2011-12-24,51.0
2011-12-25,53.0
2011-12-26,50.0
2011-12-27,47.0
2011-12-28,52.0
2011-12-29,50.0
2011-12-30,50.0
2011-12-31,53.5
2012-01-01,57.0
2012-01-02,62.0
2012-01-03,56.0
2012-01-04,62.0
2012-01-05,54.0
2012-01-06,39.0
2012-01-07,43.0
2012-01-08,51.0
2012-01-09,56.0
2012-01-10,54.0
2012-01-11,49.0
2012-01-12,49.0
2012-01-13,55.0
2012-01-14,54.0
2012-01-15,37.0
2012-01-16,29.0
2012-01-17,35.0
2012-01-18,42.0
2012-01-19,43.0
2012-01-20,44.0
2012-01-21,42.0
2012-01-22,39.0
2012-01-23,34.0
2012-01-24,42.0
2012-01-25,50.0
2012-01-26,48.0
2012-01-27,44.0
2012-01-28,47.0
2012-01-29,55.0
2012-01-30,50.0
2012-01-31,52.0
2012-02-01,46.0
2012-02-02,45.0
2012-02-03,47.0
2012-02-04,49.0
2012-02-05,52.0
2012-02-06,53.0
2012-02-07,43.0
2012-02-08,51.0
2012-02-09,61.0
2012-02-10,49.0
2012-02-11,45.0
2012-02-12,45.0
2012-02-13,36.0
2012-02-14,42.0
2012-02-15,40.0
2012-02-16,46.0
2012-02-17,52.0
2012-02-18,40.0
2012-02-19,43.0
2012-02-20,38.0
2012-02-21,48.0
2012-02-22,54.0
2012-02-23,46.0
2012-02-24,64.0
2012-02-25,37.0
2012-02-26,37.0
2012-02-27,41.0
2012-02-28,37.5
2012-02-29,34.0
2012-03-01,33.0
2012-03-02,42.0
2012-03-03,54.0
2012-03-04,63.0
2012-03-05,57.0
2012-03-06,43.0
2012-03-07,48.0
2012-03-08,62.0
2012-03-09,68.0
2012-03-10,60.0
2012-03-11,46.0
2012-03-12,52.0
2012-03-13,45.0
2012-03-14,48.0
2012-03-15,55.0
2012-03-16,52.0
2012-03-17,45.0
2012-03-18,37.0
2012-03-19,38.0
2012-03-20,45.0
2012-03-21,58.0
2012-03-22,54.0
2012-03-23,51.0
2012-03-24,53.0
2012-03-25,49.0
2012-03-26,45.0
2012-03-27,53.0
2012-03-28,46.0
2012-03-29,50.0
2012-03-30,57.0
2012-03-31,52.0
2012-04-01,44.0
2012-04-02,56.0
2012-04-03,63.0
2012-04-04,39.0
2012-04-05,36.0
2012-04-06,44.0
2012-04-07,61.0
2012-04-08,69.0
2012-04-09,67.0
2012-04-10,61.0
2012-04-11,50.0
2012-04-12,51.0
2012-04-13,43.0
2012-04-14,54.0
2012-04-15,60.0
2012-04-16,60.0
2012-04-17,60.0
2012-04-18,58.0
2012-04-19,66.0
2012-04-20,76.0
2012-04-21,81.0
2012-04-22,84.0
2012-04-23,81.0
2012-04-24,73.0
2012-04-25,59.0
2012-04-26,49.0
2012-04-27,53.0
2012-04-28,64.0
2012-04-29,70.0
2012-04-30,65.0
2012-05-01,65.0
2012-05-02,59.0
2012-05-03,55.0
2012-05-04,47.0
2012-05-05,57.0
2012-05-06,66.0
2012-05-07,73.0
2012-05-08,79.0
2012-05-09,77.0
2012-05-10,66.0
2012-05-11,72.0
2012-05-12,79.0
2012-05-13,83.0
2012-05-14,84.0
2012-05-15,86.0
2012-05-16,82.0
2012-05-17,60.0
2012-05-18,68.0
2012-05-19,75.0
2012-05-20,82.0
2012-05-21,77.0
2012-05-22,68.0
2012-05-23,60.0
2012-05-24,60.0
2012-05-25,48.0
2012-05-26,60.0
2012-05-27,63.0
2012-05-28,70.0
2012-05-29,75.0
2012-05-30,81.0
2012-05-31,86.0
2012-06-01,89.0
2012-06-02,80.0
2012-06-03,80.0
2012-06-04,64.0
2012-06-05,55.0
2012-06-06,65.0
2012-06-07,66.0
2012-06-08,64.0
2012-06-09,64.0
2012-06-10,74.0
2012-06-11,82.0
2012-06-12,82.0
2012-06-13,82.0
2012-06-14,83.0
2012-06-15,82.0
2012-06-16,89.0
2012-06-17,91.0
2012-06-18,75.0
2012-06-19,72.0
2012-06-20,86.0
2012-06-21,89.0
2012-06-22,70.0
2012-06-23,65.0
2012-06-24,74.0
2012-06-25,71.0
2012-06-26,69.0
2012-06-27,84.0
2012-06-28,82.0
2012-06-29,85.0
2012-06-30,83.0
2012-07-01,81.0
2012-07-02,90.0
2012-07-03,82.0
2012-07-04,85.0
2012-07-05,86.0
2012-07-06,90.0
2012-07-07,95.0
2012-07-08,96.0
2012-07-09,93.0
2012-07-10,96.0
2012-07-11,96.0
2012-07-12,96.0
2012-07-13,94.0
2012-07-14,89.0
2012-07-15,89.0
2012-07-16,86.0
2012-07-17,81.0
2012-07-18,82.0
2012-07-19,81.0
2012-07-20,83.0
2012-07-21,93.0
2012-07-22,93.0
2012-07-23,91.0
2012-07-24,91.0
2012-07-25,89.0
2012-07-26,91.0
2012-07-27,88.0
2012-07-28,89.0
2012-07-29,93.0
2012-07-30,90.0
2012-07-31,91.0
2012-08-01,91.0
2012-08-02,92.0
2012-08-03,94.0
2012-08-04,98.0
2012-08-05,90.0
2012-08-06,95.0
2012-08-07,94.0
2012-08-08,93.0
2012-08-09,96.0
2012-08-10,94.0
2012-08-11,96.0
2012-08-12,98.0
2012-08-13,95.0
2012-08-14,99.0
2012-08-15,99.0
2012-08-16,96.0
2012-08-17,97.0
2012-08-18,90.0
2012-08-19,90.0
2012-08-20,91.0
2012-08-21,87.0
2012-08-22,87.0
2012-08-23,89.0
2012-08-24,88.0
2012-08-25,89.0
2012-08-26,85.0
2012-08-27,84.0
2012-08-28,84.0
2012-08-29,85.0
2012-08-30,89.0
2012-08-31,86.0
2012-09-01,80.0
2012-09-02,86.0
2012-09-03,89.0
2012-09-04,87.0
2012-09-05,88.0
2012-09-06,84.0
2012-09-07,88.0
2012-09-08,93.0
2012-09-09,85.0
2012-09-10,81.0
2012-09-11,82.0
2012-09-12,87.0
2012-09-13,90.0
2012-09-14,86.0
2012-09-15,85.0
2012-09-16,84.0
2012-09-17,87.0
2012-09-18,89.0
2012-09-19,90.0
2012-09-20,91.0
2012-09-21,90.0
2012-09-22,85.0
2012-09-23,77.0
2012-09-24,75.0
2012-09-25,79.0
2012-09-26,83.0
2012-09-27,86.0
2012-09-28,85.0
2012-09-29,85.0
2012-09-30,86.0
2012-10-01,89.0
2012-10-02,86.0
2012-10-03,77.0
2012-10-04,79.0
2012-10-05,74.0
2012-10-06,76.0
2012-10-07,75.0
2012-10-08,72.0
2012-10-09,72.0
2012-10-10,76.0
2012-10-11,79.0
2012-10-12,67.0
2012-10-13,69.0
2012-10-14,76.0
2012-10-15,73.0
2012-10-16,68.0
2012-10-17,70.0
2012-10-18,79.0
2012-10-19,75.0
2012-10-20,63.0
2012-10-21,55.0
2012-10-22,45.0
2012-10-23,42.0
2012-10-24,43.0
2012-10-25,48.0
2012-10-26,59.0
2012-10-27,62.0
2012-10-28,69.0
2012-10-29,68.0
2012-10-30,67.0
2012-10-31,66.0
2012-11-01,56.0
2012-11-02,59.0
2012-11-03,64.0
2012-11-04,69.0
2012-11-05,73.0
2012-11-06,73.0
2012-11-07,65.0
2012-11-08,44.0
2012-11-09,34.0
2012-11-10,32.0
2012-11-11,33.0
2012-11-12,48.0
2012-11-13,52.0
2012-11-14,55.0
2012-11-15,57.0
2012-11-16,47.0
2012-11-17,52.0
2012-11-18,39.0
2012-11-19,49.0
2012-11-20,56.0
2012-11-21,50.0
2012-11-22,52.0
2012-11-23,59.0
2012-11-24,58.0
2012-11-25,53.0
2012-11-26,59.0
2012-11-27,60.0
2012-11-28,51.0
2012-11-29,54.0
2012-11-30,47.0
2012-12-01,55.0
2012-12-02,47.0
2012-12-03,48.0
2012-12-04,46.0
2012-12-05,50.0
2012-12-06,47.0
2012-12-07,42.0
2012-12-08,39.0
2012-12-09,45.0
2012-12-10,48.0
2012-12-11,42.0
2012-12-12,34.0
2012-12-13,34.0
2012-12-14,27.0
2012-12-15,31.0
2012-12-16,41.0
2012-12-17,41.0
2012-12-18,29.0
2012-12-19,32.0
2012-12-20,44.0
2012-12-21,39.0
2012-12-22,36.0
2012-12-23,36.0
2012-12-24,32.0
2012-12-25,35.0
2012-12-26,35.0
2012-12-27,31.0
2012-12-28,31.0
2012-12-29,30.0
2012-12-30,31.0
2012-12-31,22.0
2013-01-01,26.0
2013-01-02,31.0
2013-01-03,38.0
2013-01-04,33.0
2013-01-05,33.0
2013-01-06,30.0
2013-01-07,36.0
2013-01-08,43.0
2013-01-09,41.0
2013-01-10,27.0
2013-01-11,28.0
2013-01-12,12.0
2013-01-13,8.0
2013-01-14,16.0
2013-01-15,22.0
2013-01-16,26.0
2013-01-17,29.0
2013-01-18,34.0
2013-01-19,35.714285714285715
2013-01-20,37.42857142857143
2013-01-21,39.14285714285714
2013-01-22,40.857142857142854
2013-01-23,42.57142857142857
2013-01-24,44.285714285714285
2013-01-25,46.0
2013-01-26,39.0
2013-01-27,33.0
2013-01-28,33.0
2013-01-29,41.0
2013-01-30,44.0
2013-01-31,48.0
2013-02-01,51.0
2013-02-02,50.0
2013-02-03,50.0
2013-02-04,52.0
2013-02-05,47.0
2013-02-06,48.0
2013-02-07,38.0
2013-02-08,35.0
2013-02-09,39.0
2013-02-10,42.0
2013-02-11,46.0
2013-02-12,46.0
2013-02-13,51.0
2013-02-14,50.0
2013-02-15,57.0
2013-02-16,57.0
2013-02-17,44.0
2013-02-18,49.0
2013-02-19,33.0
2013-02-20,37.0
2013-02-21,37.0
2013-02-22,49.0
2013-02-23,37.0
2013-02-24,43.0
2013-02-25,42.0
2013-02-26,43.0
2013-02-27,51.0
2013-02-28,51.0
2013-03-01,63.0
2013-03-02,58.0
2013-03-03,50.0
2013-03-04,56.0
2013-03-05,52.0
2013-03-06,41.0
2013-03-07,44.0
