,ds,yhat,yhat_lower,yhat_upper
0,2011-01-01,37.229571560212506,26.874013655649705,48.85091189246913
1,2011-01-02,37.18207787380979,25.77230972763497,47.70494759550806
2,2011-01-03,37.01569324067685,24.92088751439346,48.69221034600116
3,2011-01-04,37.26726845504919,26.174768295147388,49.39366580292864
4,2011-01-05,37.759853707910146,26.606718002883103,49.06782434595222
5,2011-01-06,37.577069848571426,25.320251986234283,49.370163771207345
6,2011-01-07,37.88393164932352,26.246772626696515,49.148941481458
7,2011-01-08,38.065101992847815,27.625117133347466,49.53878803197483
8,2011-01-09,37.99762527369005,26.839082389229407,49.88272166907
9,2011-01-10,37.82868405845267,26.84315428881344,49.79097326202941
10,2011-01-11,38.09810114553101,25.922964640679268,49.03149621033074
11,2011-01-12,38.63107588428014,26.87262239583131,50.170131002735765
12,2011-01-13,38.5124696563534,27.66811638380311,49.88867038918571
13,2011-01-14,38.90757147499406,27.77498008480775,50.78051066116369
14,2011-01-15,39.20032468884025,27.543565576721765,50.162427431149744
15,2011-01-16,39.26606425292718,27.71608611778612,50.4300439856559
16,2011-01-17,39.24930884633196,27.793212255436302,50.71588228384984
17,2011-01-18,39.68632926165027,28.373646500532598,50.7561906022385
18,2011-01-19,40.39798027459517,28.809649712557732,52.87371272662181
19,2011-01-20,40.46410835079551,30.07283191245294,51.66870300248365
20,2011-01-21,41.044462774697685,30.87454606480764,52.555950011299764
21,2011-01-22,41.51708708442775,30.718901428071458,52.39972324924225
22,2011-01-23,41.75123555642611,30.539143573493202,53.831458305224615
23,2011-01-24,41.885353818731204,29.969733207144923,54.19363180156725
24,2011-01-25,42.44983948538229,30.82291394457549,53.8658941117734
25,2011-01-26,43.26006431554513,32.15703806529003,54.36792219475781
26,2011-01-27,43.39096454420759,31.864041163438976,55.22662144797044
27,2011-01-28,43.99812142111966,32.10384112987145,54.84803219985281
28,2011-01-29,44.45630361961998,32.641059282661715,55.72190147669473
29,2011-01-30,44.63251151859399,32.86969340405527,55.953803455327346
30,2011-01-31,44.664058320013524,33.673257352727056,56.006805393161116
31,2011-02-01,45.08140052773624,33.55215811648544,57.46539612352999
32,2011-02-02,45.70119677833965,35.24273990141147,56.919166910174184
33,2011-02-03,45.60090009242594,32.965951718702456,56.67587445779044
34,2011-02-04,45.93980499277409,35.132417609621676,57.241661610840055
35,2011-02-05,46.09752157447757,34.84469820938417,57.71293421848298
36,2011-02-06,45.946917963908874,34.724979576619845,58.09439031668364
37,2011-02-07,45.63206854006344,33.678456914739805,56.480821260881875
38,2011-02-08,45.69092377128792,35.20462675968768,56.27662454339993
39,2011-02-09,45.948184814023264,35.130053199544875,57.592996845580615
40,2011-02-10,45.48969281397326,34.30171343702746,56.480684043536655
41,2011-02-11,45.48325981082267,34.548663180461645,56.26198489126072
42,2011-02-12,45.316919218110385,34.037358271686436,56.99452485529203
43,2011-02-13,44.87164346902067,34.161781799755246,56.54745306656807
44,2011-02-14,44.29907245021425,33.35963472272072,55.85416509871504
45,2011-02-15,44.143974743304796,32.81680977089442,55.63094487601167
46,2011-02-16,44.23693073008981,33.0090071960425,55.89870325425128
47,2011-02-17,43.668552985411566,32.25658540349405,54.6626979215144
48,2011-02-18,43.6101757586114,31.269296821576823,55.850397484686454
49,2011-02-19,43.451995689499,32.069704042492795,54.91867047319588
50,2011-02-20,43.07571467637954,32.0411502470388,54.08992761447721
51,2011-02-21,42.63223089886556,31.835476397266245,54.2720377045061
52,2011-02-22,42.6641013772762,31.516767136451616,53.678396770409634
53,2011-02-23,42.99826542453623,31.35470956683401,55.48437884002851
54,2011-02-24,42.720343637938534,31.181458781938804,54.048220389505325
55,2011-02-25,42.99544239502049,30.851952845196053,54.33190099452564
56,2011-02-26,43.20644314871095,31.80380511020534,55.21350498837313
57,2011-02-27,43.226823649350195,32.477321644837396,54.01795292644778
58,2011-02-28,43.19855246858589,31.404649371201252,55.282654420808335
59,2011-03-01,43.65477486681954,32.093821530912194,54.620382531043504
60,2011-03-02,44.41277345320748,32.92694906776384,56.086661017500916
61,2011-03-03,44.548511973903075,33.740285310556864,55.790126680161386
62,2011-03-04,45.21768564995655,33.88911884564108,56.86763989557845
63,2011-03-05,45.794250766667574,34.937089032477964,57.237956125657284
64,2011-03-06,46.14347418039837,35.37384750744717,57.94171830519802
65,2011-03-07,46.400037966991434,35.44770276756155,57.53708982342418
66,2011-03-08,47.090911583911705,36.34662550609846,58.837827920065884
67,2011-03-09,48.028469964223774,36.367075958078665,60.25643335013608
68,2011-03-10,48.28516162553592,37.54703585330172,59.478577536388705
69,2011-03-11,49.014646859171485,37.61214201057364,61.495142308458014
70,2011-03-12,49.59037633485792,37.64454379119843,61.52680287520866
71,2011-03-13,49.87864947556991,38.90594939521727,61.15285518585915
72,2011-03-14,50.01668760677636,38.84965640731302,60.97537300691137
73,2011-03-15,50.535435129501195,38.662625486744645,62.0653036200582
74,2011-03-16,51.25256908514223,39.981816350185,62.76616393011954
75,2011-03-17,51.247024162852014,38.775146298835594,62.215778440458244
76,2011-03-18,51.67995711753383,40.328760672706586,62.75101398313286
77,2011-03-19,51.93312566275264,41.062746584177276,63.88678713067892
78,2011-03-20,51.88172661688232,39.419033121165846,62.99637372111352
79,2011-03-21,51.67223427431045,39.943994443471425,63.21821802555812
80,2011-03-22,51.84495859711802,40.67006093231319,63.13397146157625
81,2011-03-23,52.226810143717465,41.350329629971725,63.95179273425262
82,2011-03-24,51.905585355591455,40.66218140620826,63.179974060295194
83,2011-03-25,52.050702581103494,40.47014328231126,63.37181567385909
84,2011-03-26,52.051369976183665,40.93072447719072,63.58735228908908
85,2011-03-27,51.789235634117745,40.59709416016247,64.03425627374627
86,2011-03-28,51.41606583689269,39.64412459714645,63.060076914407816
87,2011-03-29,51.47617515799863,39.85959251505233,62.9035895241882
88,2011-03-30,51.79909857111091,39.54271216847373,63.332047493404275
89,2011-03-31,51.47382144205987,40.211284358139025,62.23027710273149
90,2011-04-01,51.669499000531076,40.036229636681185,62.18832191202818
91,2011-04-02,51.77364658190666,40.27560584016326,63.198528242732614
92,2011-04-03,51.66485007710125,40.449663077024816,63.48467379403185
93,2011-04-04,51.490540535188025,39.6980271100803,62.743515130854945
94,2011-04-05,51.789553728182675,40.92197345006028,63.50173397831793
95,2011-04-06,52.38496102596232,41.151789956734895,63.627491836247835
96,2011-04-07,52.35848287828031,41.0409816869313,63.8413334923835
97,2011-04-08,52.87141127806479,41.560727094890495,64.683212671516
98,2011-04-09,53.30301678209862,42.3314899116001,64.75391315931412
99,2011-04-10,53.52348348320283,42.51847614585584,65.19756213237176
100,2011-04-11,53.67190967613905,42.169321003788184,64.56171913648984
101,2011-04-12,54.279088839163116,43.510122038161384,65.98326715118456
102,2011-04-13,55.16055127946327,43.97182728482958,66.47318170427405
103,2011-04-14,55.39117209289825,44.2684312640135,66.40724869531132
104,2011-04-15,56.12626667389427,44.71199066886441,67.555911283055
105,2011-04-16,56.740144860461776,45.21299921410316,68.6919127952416
106,2011-04-17,57.099163384461654,46.1546255038868,68.13010613555025
107,2011-04-18,57.33981150968409,45.95753174605901,68.30395588477144
108,2011-04-19,57.991542556464516,46.67053551054883,69.31712825154295
109,2011-04-20,58.8698307192119,47.375506555436225,69.14841901901585
110,2011-04-21,59.05075888354377,48.11500494178793,69.80929471419316
111,2011-04-22,59.69205972167777,49.27767845423303,71.0003969182665
112,2011-04-23,60.1715831407546,48.841537747859924,72.31891809813861
113,2011-04-24,60.36023262472825,49.62767584758272,72.70118753256386
114,2011-04-25,60.399909013255794,48.32045233810949,71.53630625210633
115,2011-04-26,60.82617875503448,49.35087621125217,72.24214468559457
116,2011-04-27,61.46115092830644,49.982342957432294,72.03181015420502
117,2011-04-28,61.38787402405133,50.160933484490904,72.32430172183348
118,2011-04-29,61.7711803068596,50.62439128304661,73.39829959201295
119,2011-04-30,61.99595645140034,50.786753454637264,73.59235708054155
120,2011-05-01,61.93988854369926,50.93722840593473,73.32844645408305
121,2011-05-02,61.75122530678018,50.31827237810885,72.47003484025994
122,2011-05-03,61.97128152230106,49.876317278339314,72.9182499250319
123,2011-05-04,62.42717035609134,52.020685151964614,74.05972490303537
124,2011-05-05,62.206079358714675,50.55302151749132,73.36873240527353
125,2011-05-06,62.47602099102721,50.823884595782665,73.68352989972624
126,2011-05-07,62.62403858865071,52.37442339129852,74.14843791683833
