,ds,yhat,yhat_lower,yhat_upper
0,2011-01-01,11.894988920971233,1.9991981500202347,21.93553334690855
1,2011-01-02,12.19941601091018,2.887305224258438,21.983775835046774
2,2011-01-03,12.344024799758355,2.12946385615872,22.543952761309505
3,2011-01-04,12.571879985574743,2.3806064363541553,22.021830319143824
4,2011-01-05,12.967366071529504,2.6949852493739357,22.60752213613209
5,2011-01-06,13.053183991121777,3.5191354587136994,22.905386021407914
6,2011-01-07,12.341608961760016,2.04917888669339,21.439105532909082
7,2011-01-08,12.83382794248893,2.6119056916392993,22.677370715241615
8,2011-01-09,13.289261279493727,3.8746462912093254,22.661104601938817
9,2011-01-10,13.58864760937003,4.050850005724103,22.865610595137177
10,2011-01-11,13.97454185098546,4.066681795249693,23.647328292666963
11,2011-01-12,14.530464912731324,4.589997325253861,24.334668479048418
12,2011-01-13,14.77789114095438,5.635606759390475,24.423320189942704
13,2011-01-14,14.227510247173296,5.0647639116774545,24.454565289781396
14,2011-01-15,14.878582478570307,5.600350904623747,25.040295303126335
15,2011-01-16,15.488291567812796,5.6079984689535625,25.18552609383716
16,2011-01-17,15.934874040958737,5.802889560115796,26.067770043881342
17,2011-01-18,16.458173785627707,6.150101586234897,25.83050197053313
18,2011-01-19,17.13885916004196,6.577016622491667,27.628928760518363
19,2011-01-20,17.49548693822782,8.024786204917117,27.151318844399487
20,2011-01-21,17.035847759624033,6.911896653664999,26.851842474555536
21,2011-01-22,17.756409496174015,7.303386346344642,27.783342189075363
22,2011-01-23,18.411760505673936,9.084877293097687,27.691177885155092
23,2011-01-24,18.877828641093323,8.854885607963032,29.185710704766276
24,2011-01-25,19.392522146654873,9.754083478053628,29.336396326490686
25,2011-01-26,20.03502697049517,9.996080496341023,29.745693442677858
26,2011-01-27,20.322942142422008,10.521536079242892,29.865132885874267
27,2011-01-28,19.76368542428576,9.97120060088941,29.45157779918644
28,2011-01-29,20.353983448860866,9.520715959953993,29.51026060447362
29,2011-01-30,20.849346453664307,10.416720467943591,29.9809400597438
30,2011-01-31,21.12730201414181,10.957769541819665,30.998538805104833
31,2011-02-01,21.428032890449977,10.915747926468498,31.30121133420846
32,2011-02-02,21.833652989042868,11.679841115738707,31.68268801766706
33,2011-02-03,21.865303072372797,11.392417149539286,31.37268912623216
34,2011-02-04,21.03449893322555,10.571526882044084,29.547422507947402
35,2011-02-05,21.34254727857768,11.04702180312519,30.94483483132135
36,2011-02-06,21.549930958683422,12.173904465272273,31.460558312682316
37,2011-02-07,21.539439941107247,11.276102324531633,31.213686381639423
38,2011-02-08,21.556695556825172,11.04844370574391,31.70683064710732
39,2011-02-09,21.68930478879843,11.607372424346588,31.837144710989772
40,2011-02-10,21.463829289676273,11.751115345674073,31.092281811790997
41,2011-02-11,20.397005101013264,10.444100497388932,30.032162667887953
42,2011-02-12,20.495031688892993,10.704246875577338,30.38149330653863
43,2011-02-13,20.52283532290533,10.294771662238837,29.615618760211515
44,2011-02-14,20.36708651606994,9.871230369367517,30.389884323046616
45,2011-02-15,20.27662220335222,10.930504896469547,30.299134083602137
46,2011-02-16,20.341512322372047,11.347426180211132,30.516640399081293
47,2011-02-17,20.089958034595632,9.792766706918295,29.86052712832756
48,2011-02-18,19.039459694298472,10.016757577057868,29.686830161628148
49,2011-02-19,19.196074833896965,9.95221660562595,29.38462276384141
50,2011-02-20,19.32367231350463,9.755393887653105,29.427373002495838
51,2011-02-21,19.306962903339542,9.692121309176644,29.46084132734802
52,2011-02-22,19.391956936199733,9.36426294670929,29.726079662940307
53,2011-02-23,19.66508805659372,10.25405553242906,29.51310578113425
54,2011-02-24,19.650189082630632,9.718084576264252,29.620204592722626
55,2011-02-25,18.859756308486226,9.18988209619104,28.5480208105555
56,2011-02-26,19.294320222928455,9.580212575708304,28.4329725605466
57,2011-02-27,19.711826043287125,10.065272184079017,29.79318347795502
58,2011-02-28,19.990801200993115,9.507393947720386,30.05804743131879
59,2011-03-01,20.370956981931563,11.042735439358117,29.601270375542406
60,2011-03-02,20.932459704147632,11.512407178020545,31.521312397886376
61,2011-03-03,21.193053692657443,11.580473125122328,30.997287652510813
62,2011-03-04,20.65946861199882,10.859198956811998,30.464128882824774
63,2011-03-05,21.326925456217477,11.368958137075053,30.65609038475663
64,2011-03-06,21.948641111499487,12.407573061145264,31.486190220578905
65,2011-03-07,22.399105430319267,12.271730795105068,31.854590205507304
66,2011-03-08,22.914775197774503,12.71813051961488,32.9732106713663
67,2011-03-09,23.57341800237922,13.831887187587677,33.1610311479055
68,2011-03-10,23.891286418561386,14.149497173467962,33.39306827626695
69,2011-03-11,23.37455377788195,12.61172146074008,33.02195531795069
70,2011-03-12,24.01882514964177,13.726536698518352,33.374512715952534
71,2011-03-13,24.57862339043733,14.396252558134657,34.490651734106315
72,2011-03-14,24.93062477103539,15.105208374363118,34.6456711262189
73,2011-03-15,25.314289740202803,15.665966877090556,35.835544640069116
74,2011-03-16,25.811123593623385,16.217293900981097,35.99109918326728
75,2011-03-17,25.941749739415314,15.571681490275179,36.007461831894986
76,2011-03-18,25.21722958664496,15.501666055123763,35.597930342386015
77,2011-03-19,25.638445815933196,15.218839118787605,35.644807085295234
78,2011-03-20,25.9654523323696,16.12819363495084,35.78954359102182
79,2011-03-21,26.080569056720837,16.266642340708824,35.735845402002724
80,2011-03-22,26.228870868486588,16.9798473099659,36.14425587312297
81,2011-03-23,26.49730922547331,17.203601286234292,37.40678304249592
82,2011-03-24,26.411652807165236,16.173505997985014,36.89205429086152
